batch,job,name,seed,best_discrete,final_discrete,soft_full,hash_match
115,2,overnight_b115_j2,15502,1.0526371002197266,4.125878810882568,0.3958207666873932,False
115,3,overnight_b115_j3,15503,61.0631103515625,181.7344207763672,0.3618868589401245,False
115,4,overnight_b115_j4,15504,8.275215148925781,163.32095336914062,0.31295791268348694,False
116,1,overnight_b116_j1,15601,26.669214248657227,32.11421585083008,0.5245413780212402,False
116,2,overnight_b116_j2,15602,13.088841438293457,20.325464248657227,0.3774668276309967,False
116,3,overnight_b116_j3,15603,17.513622283935547,148.0449981689453,0.3211606740951538,False
116,4,overnight_b116_j4,15604,38.143428802490234,45.5583381652832,0.35677221417427063,False
117,1,overnight_b117_j1,15701,30.326011657714844,40.13276290893555,0.35987478494644165,False
117,2,overnight_b117_j2,15702,10.102941513061523,57.167198181152344,0.4851242005825043,False
117,3,overnight_b117_j3,15703,18.190990447998047,9.692119598388672,0.5586599707603455,False
117,4,overnight_b117_j4,15704,29.437427520751953,109.32482147216797,0.32114702463150024,False
118,1,overnight_b118_j1,15801,8.599396705627441,42.654296875,0.3475613296031952,False
118,2,overnight_b118_j2,15802,15.919824600219727,25.972471237182617,0.3622802495956421,False
118,3,overnight_b118_j3,15803,30.620332717895508,227.93321228027344,0.34283381700515747,False
118,4,overnight_b118_j4,15804,9.239686965942383,1.7291829586029053,0.3696395456790924,False
119,1,overnight_b119_j1,15901,1.128810167312622,19.791683197021484,0.3507089614868164,False
119,2,overnight_b119_j2,15902,22.359577178955078,58.1281623840332,0.5000084638595581,False
119,3,overnight_b119_j3,15903,4.636529445648193,23.125675201416016,0.3821841776371002,False
119,4,overnight_b119_j4,15904,10.619353294372559,74.1843490600586,0.30375516414642334,False
120,1,overnight_b120_j1,16001,1.5903812646865845,2.0416650772094727,0.38900941610336304,False
120,2,overnight_b120_j2,16002,3.268716335296631,30.31488037109375,0.40083977580070496,False
120,3,overnight_b120_j3,16003,5.080904483795166,27.91834259033203,0.31726938486099243,False
120,4,overnight_b120_j4,16004,10.367871284484863,88.41087341308594,0.33135125041007996,False
121,1,overnight_b121_j1,16101,0.8109241127967834,53.500648498535156,0.44435468316078186,False
121,2,overnight_b121_j2,16102,0.6868191361427307,0.6868191361427307,0.41890251636505127,False
121,3,overnight_b121_j3,16103,55.46888732910156,148.2876434326172,0.36267128586769104,False
121,4,overnight_b121_j4,16104,68.39664459228516,235.183349609375,0.30452948808670044,False
122,1,overnight_b122_j1,16201,7.980502128601074,41.04438781738281,0.3767194449901581,False
122,2,overnight_b122_j2,16202,5.811049938201904,31.89384651184082,0.3776394724845886,False
122,3,overnight_b122_j3,16203,4.805141448974609,39.0869255065918,0.35094547271728516,False
122,4,overnight_b122_j4,16204,23.079544067382812,25.97289276123047,0.3856164216995239,False
123,1,overnight_b123_j1,16301,2.299992799758911,2.210123062133789,0.38025301694869995,False
123,2,overnight_b123_j2,16302,8.721559524536133,19.281463623046875,0.3475213646888733,False
123,3,overnight_b123_j3,16303,3.601349115371704,36.132843017578125,0.37293171882629395,False
123,4,overnight_b123_j4,16304,3.7737650871276855,34.41272735595703,0.31593188643455505,False
124,1,overnight_b124_j1,16401,6.709609031677246,6.709609031677246,0.47914108633995056,False
124,2,overnight_b124_j2,16402,30.197467803955078,9.41447925567627,0.386750191450119,False
124,3,overnight_b124_j3,16403,41.08545684814453,15.568458557128906,0.4134956896305084,False
124,4,overnight_b124_j4,16404,8.552700996398926,34.93722152709961,0.3627302050590515,False
125,1,overnight_b125_j1,16501,25.350780487060547,169.61996459960938,0.36262795329093933,False
125,2,overnight_b125_j2,16502,65.88634490966797,81.63575744628906,0.5360904335975647,False
125,3,overnight_b125_j3,16503,12.940644264221191,53.48757553100586,0.3527753949165344,False
125,4,overnight_b125_j4,16504,4.1085357666015625,46.4863166809082,0.32176974415779114,False
126,1,overnight_b126_j1,16601,2.906926155090332,3.2804858684539795,0.642009973526001,False
126,2,overnight_b126_j2,16602,1.6401290893554688,24.582740783691406,0.4185784161090851,False
126,3,overnight_b126_j3,16603,11.359126091003418,23.613327026367188,0.34660613536834717,False
126,4,overnight_b126_j4,16604,15.661616325378418,54.31033706665039,0.3248184621334076,False
127,1,overnight_b127_j1,16701,13.963828086853027,28.05938148498535,0.38850119709968567,False
127,2,overnight_b127_j2,16702,10.551311492919922,22.580827713012695,0.4125906229019165,False
127,3,overnight_b127_j3,16703,14.944028854370117,6.355952262878418,0.4023197293281555,False
127,4,overnight_b127_j4,16704,7.0243449211120605,53.69439697265625,0.3322681188583374,False
128,1,overnight_b128_j1,16801,111.23461151123047,186.28456115722656,0.3689681887626648,False
128,2,overnight_b128_j2,16802,8.252779960632324,28.984943389892578,0.3838973045349121,False
128,3,overnight_b128_j3,16803,10.413168907165527,27.673908233642578,0.4331941306591034,False
128,4,overnight_b128_j4,16804,27.290498733520508,45.97905349731445,0.38824114203453064,False
129,1,overnight_b129_j1,16901,2.2343695163726807,101.41938781738281,0.4043247103691101,False
129,2,overnight_b129_j2,16902,3.7674522399902344,3.7674522399902344,0.39039263129234314,False
129,3,overnight_b129_j3,16903,18.00361442565918,162.32423400878906,0.3940391540527344,False
129,4,overnight_b129_j4,16904,10.533076286315918,24.511384963989258,0.37176772952079773,False
130,1,overnight_b130_j1,17001,4.377372741699219,8.329414367675781,0.5472598075866699,False
130,2,overnight_b130_j2,17002,9.344365119934082,68.72309112548828,0.4144323170185089,False
130,3,overnight_b130_j3,17003,7.908724784851074,51.264122009277344,0.4140462279319763,False
130,4,overnight_b130_j4,17004,0.9127376675605774,2.2909326553344727,0.3284677565097809,False
131,1,overnight_b131_j1,17101,4.9360175132751465,62.44536209106445,0.4181804656982422,False
131,2,overnight_b131_j2,17102,7.687695026397705,1101.428955078125,0.44903093576431274,False
131,3,overnight_b131_j3,17103,11.958023071289062,20.34505271911621,0.4126235246658325,False
131,4,overnight_b131_j4,17104,1.753091812133789,121.01210021972656,0.35309135913848877,False
132,1,overnight_b132_j1,17201,0.8132396340370178,44.369720458984375,0.382377028465271,False
132,2,overnight_b132_j2,17202,2.466414451599121,3.097748279571533,0.35432836413383484,False
132,3,overnight_b132_j3,17203,1.1595114469528198,4.480554580688477,0.36935746669769287,False
132,4,overnight_b132_j4,17204,22.233278274536133,39.67021942138672,0.3370932936668396,False
